year,id_c,state,first_rate_change_year,ever_treated,tp,event_time_rate_change,grund_perfirm,high_gw_rate,rate_gw,log_gdp,log_mean_precip,log_sw_area,log_pop_density,log_fremdbezug,post,log_grund_perfirm,ln_rate
2019,3102,3,2016,1,1,3,4003.8,0,0.09,15.5757974197934,6.44635453854367,6.3818160174060985,6.1433268964172285,4.730921391293652,1,8.29524892067751,-2.4078345037131434
2019,3158,3,2016,1,1,3,119.57142857142857,0,0.09,14.757753596485864,6.372935756801496,6.71901315438526,5.113191882421348,3.14168618617707,1,4.792242345540644,-2.4078345037131434
2019,3103,3,2016,1,1,3,1212.7904761904763,0,0.09,17.00727994029725,6.578261599000293,6.313548046277095,6.411489806547476,7.310327317307873,1,7.101503367095208,-2.4078345037131434
2019,3251,3,2016,1,1,3,82,0,0.09,15.736020258258003,6.552609777095303,8.27308133366583,4.700480365792417,2.7796062948984277,1,4.418840607796598,-2.4078345037131434
2019,3252,3,2016,1,1,3,87.29166666666667,0,0.09,15.497012913110238,6.778500443124875,6.9957661563048505,5.2327116094500425,3.315700009503741,1,4.480645727920353,-2.4078345037131434
2019,3254,3,2016,1,1,3,75.42105263157895,0,0.09,15.91861515803515,6.5567499466635875,7.436027816351848,5.435031189863859,4.692313133269339,1,4.336258216218301,-2.4078345037131434
2019,3255,3,2016,1,1,3,167.83333333333334,0,0.09,14.633523631421452,6.633170396007611,6.656726524178391,4.629862798578463,3.478672693830446,1,5.128912035020629,-2.4078345037131434
2019,3256,3,2016,1,1,3,133.70454545454547,0,0.09,15.176206045963744,6.483464066623924,8.051022208190679,4.473921899378137,4.0302099998862255,1,4.903083827869577,-2.4078345037131434
2019,3241,3,2016,1,1,3,185.75438596491227,0,0.09,17.82151635351382,6.454639357397967,8.823500727991183,6.223964193346217,4.270555871483008,1,5.2297943094930295,-2.4078345037131434
2019,3257,3,2016,1,1,3,155.88888888888889,0,0.09,15.247526809483649,6.589820163359335,7.074963197966044,5.457881936219375,4.155404818983347,1,5.055537840716968,-2.4078345037131434
2019,3351,3,2016,1,1,3,234.73364055299538,0,0.09,15.521086852602938,6.418093012073217,7.697575346802343,4.757032535297338,3.773872666947329,1,5.4627025259053035,-2.4078345037131434
