GENESIS-Tabelle: 14345-01-04-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
20.03.2011;15151;    Anhalt-Zerbst, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15153;    Bernburg, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15154;    Bitterfeld, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15159;    Köthen, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15171;    Wittenberg, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;152;  Halle, Statistische Region;-;-;-;-;-;-;-;-;-;-
20.03.2011;15202;    Halle (Saale), kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
20.03.2011;15256;    Burgenlandkreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15260;    Mansfelder Land, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15261;    Merseburg-Querfurt, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15265;    Saalkreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15266;    Sangerhausen, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15268;    Weißenfels, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;153;  Magdeburg, Statistische Region;-;-;-;-;-;-;-;-;-;-
20.03.2011;15303;    Magdeburg, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
20.03.2011;15352;    Aschersleben-Staßfurt, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15355;    Bördekreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15357;    Halberstadt, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15358;    Jerichower Land, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15362;    Ohrekreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15363;    Stendal, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15364;    Quedlinburg, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15367;    Schönebeck, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15369;    Wernigerode, Kreis;-;-;-;-;-;-;-;-;-;-
