GENESIS-Tabelle: 14336-01-03-4
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, G¸ltige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. St‰dte;;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GR‹NE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
18.01.2009;06535;    Vogelsbergkreis;90146;61,3;53462;19501;14461;5074;8442;2811;-;3173
18.01.2009;066;  Kassel, Regierungsbezirk;960908;60,5;560928;201091;167194;62451;81613;29511;-;19068
18.01.2009;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;140319;55,9;75945;21712;21641;14607;9591;6327;-;2067
18.01.2009;06631;    Fulda, Landkreis;167887;61,5;100353;49262;16159;9759;17774;3965;-;3434
18.01.2009;06632;    Hersfeld-Rotenburg, Landkreis;98849;60,7;58060;20715;19931;4401;7790;2802;-;2421
18.01.2009;06633;    Kassel, Landkreis;191548;62,9;115368;36789;40876;13560;14809;5782;-;3552
18.01.2009;06634;    Schwalm-Eder-Kreis;148142;62,1;87924;27446;31410;8180;12980;4465;-;3443
18.01.2009;06635;    Waldeck-Frankenberg, Landkreis;128690;57,6;72139;27136;19777;7699;12129;3257;-;2141
18.01.2009;06636;    Werra-Meiﬂner-Kreis;85473;62,4;51139;18031;17400;4245;6540;2913;-;2010
27.01.2008;06;Hessen;4370463;64,3;2742959;1009775;1006264;206610;258550;140769;-;120991
27.01.2008;064;  Darmstadt, Regierungsbezirk;2613711;64,9;1656637;625039;568104;140293;167034;81759;-;74408
27.01.2008;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;97814;66,2;63631;17926;24873;8823;5924;3960;-;2125
