GENESIS-Tabelle: 14333-01-03-4
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.10.2017;03252;    Hameln-Pyrmont, Landkreis;116251;61,2;70735;21920;28771;5593;4650;3190;5118;1493
15.10.2017;03254;    Hildesheim, Landkreis;217437;65,7;142099;44631;58156;12074;8888;6196;9154;3000
15.10.2017;03255;    Holzminden, Landkreis;56174;63,1;35140;10167;15078;2658;3328;1145;2111;653
15.10.2017;03256;    Nienburg (Weser), Landkreis;94363;60,9;57150;21032;21078;4600;3895;1741;3643;1161
15.10.2017;03257;    Schaumburg, Landkreis;124133;63,1;77889;24558;31985;6206;5175;2798;5409;1758
15.10.2017;033;  Lüneburg;1337018;63,6;846802;297092;289170;79651;65156;38147;55431;22155
15.10.2017;03351;    Celle, Landkreis;138772;62,7;86634;32513;29394;5604;6981;3034;6897;2211
15.10.2017;03352;    Cuxhaven, Landkreis;157501;62,1;97216;35473;36617;7006;6125;3948;5698;2349
15.10.2017;03353;    Harburg, Landkreis;197678;66,2;130304;45672;39654;13822;12331;5484;9220;4121
15.10.2017;03354;    Lüchow-Dannenberg, Landkreis;39079;64,4;25057;7862;7863;3876;1593;1855;1351;657
15.10.2017;03355;    Lüneburg, Landkreis;140674;65,3;91472;25805;30244;12978;7266;6138;6161;2880
15.10.2017;03356;    Osterholz, Landkreis;89715;62,4;55696;17796;19778;5489;3972;3667;3679;1315
15.10.2017;03357;    Rotenburg (Wümme), Landkreis;128456;64,2;82056;33310;27341;6824;5690;2892;4059;1940
15.10.2017;03358;    Heidekreis;108330;62,4;67248;23725;25456;4828;4839;2355;4480;1565
15.10.2017;03359;    Stade, Landkreis;156285;62,7;97594;36663;31629;8300;7847;4036;6542;2577
15.10.2017;03360;    Uelzen, Landkreis;75103;63,6;47489;16332;17456;4196;3373;1952;3170;1010
15.10.2017;03361;    Verden, Landkreis;105425;62,9;66036;21941;23738;6728;5139;2786;4174;1530
15.10.2017;034;  Weser-Ems, Statistische Region;1909480;62,1;1178260;447754;409233;95300;90565;50569;60359;24480
15.10.2017;03401;    Delmenhorst, kreisfreie Stadt;56855;52,6;29705;8393;11534;1974;2080;1711;3118;895
15.10.2017;03402;    Emden, kreisfreie Stadt;38216;55,3;20966;4227;10495;1659;1384;1427;1245;529
15.10.2017;03403;    Oldenburg (Oldenburg), kreisfreie Stadt;128157;63,1;80568;18458;29549;12281;6475;7592;3769;2444
15.10.2017;03404;    Osnabrück, kreisfreie Stadt;122062;61,8;75075;23039;24814;10932;5934;5364;3144;1848
15.10.2017;03405;    Wilhelmshaven, kreisfreie Stadt;62014;54,1;33263;8488;14398;2210;2526;1796;2772;1073
15.10.2017;03451;    Ammerland, Landkreis;97020;64,5;62222;20486;22343;5669;6508;2558;3235;1423
15.10.2017;03452;    Aurich, Landkreis;152666;61,7;93271;24833;44357;6673;5554;4007;5773;2074
15.10.2017;03453;    Cloppenburg, Landkreis;119113;58,7;69467;38438;16474;3247;4992;1805;3599;912
15.10.2017;03454;    Emsland, Landkreis;237032;64,4;151907;84393;36756;7964;11021;3789;5878;2106
15.10.2017;03455;    Friesland, Landkreis;80722;63,9;51207;13422;23113;4011;4252;2074;3023;1312
15.10.2017;03456;    Grafschaft Bentheim, Landkreis;96888;64,1;61813;27832;21014;3902;4328;1836;2011;890
15.10.2017;03457;    Leer, Landkreis;130284;59,8;77426;25110;33576;5110;4378;2956;4774;1522
15.10.2017;03458;    Oldenburg, Landkreis;100326;65,8;65688;21029;22039;6530;7273;2839;4058;1920
15.10.2017;03459;    Osnabrück, Landkreis;271893;64,3;173879;70753;57566;14860;13654;6503;7542;3001
