GENESIS-Tabelle: 14339-01-03-4
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.10.2018;09671;    Aschaffenburg, Landkreis;132458;72,3;94571;38288;10877;15361;5575;2636;10353;11483
14.10.2018;09672;    Bad Kissingen, Landkreis;83262;72,2;59528;29417;4582;6904;2325;2206;6325;7770
14.10.2018;09673;    Rhön-Grabfeld, Landkreis;63737;71,5;45113;22555;2976;5736;1758;1724;4060;6306
14.10.2018;09674;    Haßberge, Landkreis;67899;74,0;49737;24082;4258;5545;2018;1685;5563;6587
14.10.2018;09675;    Kitzingen, Landkreis;69142;72,4;49556;19702;4199;7304;2085;1413;4956;9899
14.10.2018;09676;    Miltenberg, Landkreis;95271;70,1;65984;26181;7037;9267;3455;2019;6700;11326
14.10.2018;09677;    Main-Spessart, Landkreis;99733;74,2;73272;30371;8310;10139;2962;1917;6740;12835
14.10.2018;09678;    Schweinfurt, Landkreis;91309;74,8;67611;30882;5644;9196;2476;2381;7425;9610
14.10.2018;09679;    Würzburg, Landkreis;126934;77,4;97388;39208;11031;18519;4680;2825;7689;13437
14.10.2018;097;  Schwaben, Regierungsbezirk;1360794;70,1;943787;360129;72196;161762;44158;26876;106569;172098
14.10.2018;09761;    Augsburg, kreisfreie Stadt;188369;64,6;120452;37155;13078;29210;6542;6383;13513;14572
14.10.2018;09762;    Kaufbeuren, kreisfreie Stadt;31207;63,9;19708;6507;1223;3595;813;816;2340;4417
14.10.2018;09763;    Kempten (Allgäu), kreisfreie Stadt;48229;64,2;30622;8988;2184;6254;2088;1143;3522;6445
14.10.2018;09764;    Memmingen, kreisfreie Stadt;29258;64,4;18546;6326;1916;3031;938;560;2457;3320
14.10.2018;09771;    Aichach-Friedberg, Landkreis;100366;76,7;76326;31792;5464;12125;3704;1634;8913;12695
14.10.2018;09772;    Augsburg, Landkreis;187596;73,0;135715;51422;11668;21591;6197;3115;15488;26235
14.10.2018;09773;    Dillingen a.d.Donau, Landkreis;72300;68,6;48925;19910;3549;5226;2612;1009;6814;9807
14.10.2018;09774;    Günzburg, Landkreis;89710;68,1;60520;25860;3772;8243;2616;1350;8585;10095
14.10.2018;09775;    Neu-Ulm, Landkreis;122584;64,5;78092;27660;7226;14630;4124;2270;10139;12044
14.10.2018;09776;    Lindau (Bodensee), Landkreis;59117;68,7;40095;14485;2531;9040;1889;1445;3046;7660
14.10.2018;09777;    Ostallgäu, Landkreis;105313;74,4;77636;31985;5318;12167;2849;1797;7079;16443
14.10.2018;09778;    Unterallgäu, Landkreis;108167;72,5;77571;32666;3851;10525;3416;1647;9804;15664
14.10.2018;09779;    Donau-Ries, Landkreis;100078;73,4;72553;33068;6367;9725;2533;1822;7542;11498
14.10.2018;09780;    Oberallgäu, Landkreis;118500;74,2;87028;32308;4053;16404;3839;1888;7331;21207
15.09.2013;09;Bayern;9442013;63,6;5910896;2818213;1218701;509687;195019;125549;-;1043729
15.09.2013;091;  Oberbayern, Regierungsbezirk;3168232;65,9;2055578;969212;454420;204360;80944;36998;-;309645
15.09.2013;09161;    Ingolstadt, kreisfreie Stadt;89885;55,5;49018;24479;9942;3728;1571;1519;-;7781
15.09.2013;09162;    München, kreisfreie Stadt;909641;62,7;562863;206491;180832;68127;31401;13119;-;62895
