GENESIS-Tabelle: 14343-01-04-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2011;13072;    Landkreis Rostock;181029;53,0;91985;21774;34615;7483;2620;15624;-;9869
04.09.2011;13073;    Vorpommern-Rügen, Landkreis;194990;47,8;89289;25335;26382;8073;2909;17211;-;9379
04.09.2011;13074;    Nordwestmecklenburg, Landkreis;131348;51,7;65539;12908;27798;5553;1770;10983;-;6527
04.09.2011;13075;    Vorpommern-Greifswald, Landkreis;205407;50,9;99545;25687;28490;7722;2748;18725;-;16173
04.09.2011;13076;    Ludwigslust-Parchim, Landkreis;182686;54,3;95353;21479;39154;6090;2816;15472;-;10342
17.09.2006;13;Mecklenburg-Vorpommern;1415321;59,1;818061;235350;247312;27642;78440;137253;-;92064
17.09.2006;13001;    Greifswald, Hansestadt, kreisfreie Stadt;43819;57,7;24759;7504;6153;1721;2577;4402;-;2402
17.09.2006;13002;    Neubrandenburg, Stadt,  kreisfreie Stadt;57078;59,3;33076;8250;9856;1157;3006;7506;-;3301
17.09.2006;13003;    Rostock, kreisfreie Stadt;166170;58,9;96188;21044;30880;5522;9272;19714;-;9756
17.09.2006;13004;    Schwerin, kreisfreie Stadt;78620;64,1;49389;12771;16462;2119;4227;8916;-;4894
17.09.2006;13005;    Stralsund, Hansestadt,  kreisfreie Stadt;49549;54,9;26712;8259;7440;963;2378;4813;-;2859
17.09.2006;13006;    Wismar, Hansestadt,  kreisfreie Stadt;36607;58,5;20992;4461;8406;792;2417;3039;-;1877
17.09.2006;13051;    Bad Doberan, Landkreis;99102;63,6;61831;18518;18105;2274;6984;9617;-;6333
17.09.2006;13052;    Landkreis Demmin;72012;56,5;39592;13730;9583;800;3860;6701;-;4918
17.09.2006;13053;    Güstrow, Landkreis;87400;56,7;48279;13934;14942;1351;4637;7308;-;6107
17.09.2006;13054;    Landkreis Ludwigslust;105795;63,5;65566;17301;23987;1603;6182;9156;-;7337
17.09.2006;13055;    Mecklenburg-Strelitz, Landkreis;69869;59,2;40388;12301;11681;1220;3648;6838;-;4700
17.09.2006;13056;    Landkreis Müritz;56609;60,0;33086;11950;9358;911;2874;4676;-;3317
17.09.2006;13057;    Nordvorpommern, Landkreis;93836;56,6;51885;17848;13999;1208;4783;8442;-;5605
17.09.2006;13058;    Landkreis Nordwestmecklenburg;97941;58,6;56299;15160;19933;1900;5818;8364;-;5124
17.09.2006;13059;    Ostvorpommern, Landkreis;92078;57,2;51408;16701;12236;1329;5173;8011;-;7958
17.09.2006;13060;    Landkreis Parchim;84964;62,1;51362;15304;17705;1321;4328;7299;-;5405
17.09.2006;13061;    Rügen, Landkreis;59657;53,2;30923;9514;7603;876;3252;5911;-;3767
17.09.2006;13062;    Landkreis Uecker-Randow;64215;58,4;36326;10800;8983;575;3024;6540;-;6404
17.09.2006;13071;    Mecklenburgische Seenplatte, Landkreis;-;-;-;-;-;-;-;-;-;-
17.09.2006;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
17.09.2006;13073;    Vorpommern-Rügen, Landkreis;-;-;-;-;-;-;-;-;-;-
17.09.2006;13074;    Nordwestmecklenburg, Landkreis;-;-;-;-;-;-;-;-;-;-
17.09.2006;13075;    Vorpommern-Greifswald, Landkreis;-;-;-;-;-;-;-;-;-;-
17.09.2006;13076;    Ludwigslust-Parchim, Landkreis;-;-;-;-;-;-;-;-;-;-
22.09.2002;13;Mecklenburg-Vorpommern;1408355;70,6;970031;304125;394118;25402;45676;159065;-;41645
22.09.2002;13001;    Greifswald, Hansestadt, kreisfreie Stadt;42827;69,4;29150;9815;10228;1223;1661;4985;-;1238
22.09.2002;13002;    Neubrandenburg, Stadt,  kreisfreie Stadt;57669;72,4;41002;11152;16199;1041;2052;8969;-;1589
22.09.2002;13003;    Rostock, kreisfreie Stadt;161166;71,4;113314;26891;51504;4447;4627;21605;-;4240
22.09.2002;13004;    Schwerin, kreisfreie Stadt;79318;72,9;56624;14843;24289;2105;2463;10545;-;2379
22.09.2002;13005;    Stralsund, Hansestadt,  kreisfreie Stadt;48908;69,1;33041;11025;12315;961;1489;5596;-;1655
