GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
30.08.2009;14379;    Leipziger Land, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14383;    Muldentalkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14389;    Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;145;  Chemnitz, Statistische Region;1320878;51,5;666731;275793;65509;29368;67546;147955;-;80560
30.08.2009;14511;    Chemnitz, kreisfreie Stadt;205143;52,2;105481;37222;12994;7093;10207;27133;-;10832
30.08.2009;14521;    Erzgebirgskreis;321012;52,7;165694;70573;13489;5677;17418;35197;-;23340
30.08.2009;14522;    Mittelsachsen, Landkreis;284172;54,6;152143;68170;13910;5708;15886;30062;-;18407
30.08.2009;14523;    Vogtlandkreis;213413;49,0;102367;41989;10959;4682;10084;23308;-;11345
30.08.2009;14524;    Zwickau, Landkreis;297138;48,4;141046;57839;14157;6208;13951;32255;-;16636
30.08.2009;146;  Dresden, Statistische Region;1367523;54,6;732410;301348;68795;53038;76398;136031;-;96800
30.08.2009;14612;    Dresden, kreisfreie Stadt;419395;56,7;234247;87359;25114;30356;24196;40679;-;26543
30.08.2009;14625;    Bautzen, Landkreis;277795;54,6;148267;66584;12673;5755;15235;28367;-;19653
30.08.2009;14626;    Görlitz, Landkreis;238648;51,3;119779;48306;11837;4975;12594;23673;-;18394
30.08.2009;14627;    Meißen, Landkreis;216244;52,6;111315;46764;10334;6174;11962;20767;-;15314
