GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.05.2017;05119;    Oberhausen, kreisfreie Stadt;152582;62,4;93963;24813;36270;3918;8065;5298;10307;5292
14.05.2017;05120;    Remscheid, kreisfreie Stadt;77296;61,4;46836;14796;14715;2478;5949;2385;4019;2494
14.05.2017;05122;    Solingen, kreisfreie Stadt;112676;62,5;69641;21580;20781;4392;9696;3942;5602;3648
14.05.2017;05124;    Wuppertal, kreisfreie Stadt;241397;62,0;147842;39578;47621;11444;18799;10179;12586;7635
14.05.2017;05154;    Kleve, Kreis;226567;64,9;145719;61145;40274;7230;18926;4797;8241;5106
14.05.2017;05158;    Mettmann, Kreis;368121;68,3;249115;85153;70673;14243;38639;10238;19176;10993
14.05.2017;05162;    Rhein-Kreis Neuss;333571;67,6;223448;82724;59069;11616;37139;7580;15324;9996
14.05.2017;05166;    Viersen, Kreis;227599;66,1;148971;56718;40821;7918;23218;5492;8816;5988
14.05.2017;05170;    Wesel, Kreis;357650;67,5;238646;73982;84634;11601;27610;11112;18766;10941
14.05.2017;053;  Köln, Regierungsbezirk;3236887;66,7;2135991;708436;608672;166201;296960;113892;143207;98623
14.05.2017;05314;    Bonn, kreisfreie Stadt;226008;68,4;153317;47484;38911;16811;24612;10104;8578;6817
14.05.2017;05315;    Köln, kreisfreie Stadt;729833;64,9;470246;124847;132174;55534;64916;39510;28069;25196
14.05.2017;05316;    Leverkusen, kreisfreie Stadt;116380;63,7;73262;23062;22675;4481;9389;3433;6109;4113
14.05.2017;05334;    Städteregion Aachen, Kreis;404228;67,6;270212;81817;88944;20825;35229;14763;15955;12679
14.05.2017;05334002;    Aachen, kreisfreie Stadt;176721;69,3;121397;34049;34421;13792;18124;9031;5656;6324
14.05.2017;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-;-;-
14.05.2017;05358;    Düren, Kreis;199565;65,3;128591;46180;41101;6334;14595;4920;9852;5609
14.05.2017;05362;    Rhein-Erft-Kreis;344567;67,2;229008;78379;70749;12702;30531;8994;17875;9778
14.05.2017;05366;    Euskirchen, Kreis;149814;64,1;94834;37002;25362;4800;13209;3369;7444;3648
14.05.2017;05370;    Heinsberg, Kreis;189867;64,6;120753;49293;33985;5864;13645;4367;8038;5561
14.05.2017;05374;    Oberbergischer Kreis;208014;64,4;132226;50897;36433;6886;16989;5287;9996;5738
14.05.2017;05378;    Rheinisch-Bergischer Kreis;216868;71,4;153813;54945;39333;11413;25976;6153;9829;6164
14.05.2017;05382;    Rhein-Sieg-Kreis;451743;69,4;309729;114530;79005;20551;47869;12992;21462;13320
14.05.2017;055;  Münster, Regierungsbezirk;1968822;66,5;1296224;468552;412776;76200;144127;53282;88791;52496
